NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,n,Stim_practice.started_mean,Stim_practice.started_raw,Stim_practice.started_std,Stim_practice.stopped_raw,key_resp_practice.keys_raw,key_resp_practice.rt_mean,key_resp_practice.rt_raw,key_resp_practice.rt_std,key_resp_practice.started_mean,key_resp_practice.started_raw,key_resp_practice.started_std,key_resp_practice.stopped_raw,order
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1.0,10.610899925231934,10.610899925231934,0.0,,'1',0.5688098073005676,0.5688098073005676,0.0,10.610899925231934,10.610899925231934,0.0,,0.0
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1.0,11.256024360656738,11.256024360656738,0.0,,'2',0.08401180058717728,0.08401180058717728,0.0,11.256024360656738,11.256024360656738,0.0,,1.0
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1.0,11.415908813476562,11.415908813476562,0.0,,'3',0.3531777858734131,0.3531777858734131,0.0,11.415908813476562,11.415908813476562,0.0,,2.0
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1.0,11.853730201721191,11.853730201721191,0.0,,'1',0.06213270127773285,0.06213270127773285,0.0,11.853730201721191,11.853730201721191,0.0,,3.0
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1.0,11.992456436157227,11.992456436157227,0.0,,'2',0.2954249978065491,0.2954249978065491,0.0,11.992456436157227,11.992456436157227,0.0,,4.0
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1.0,12.367616653442383,12.367616653442383,0.0,,'3',0.033863700926303864,0.033863700926303864,0.0,12.367616653442383,12.367616653442383,0.0,,5.0
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1.0,12.478747367858887,12.478747367858887,0.0,,'1',0.07182729989290237,0.07182729989290237,0.0,12.478747367858887,12.478747367858887,0.0,,6.0
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1.0,12.631301879882812,12.631301879882812,0.0,,'3',0.10420449823141098,0.10420449823141098,0.0,12.631301879882812,12.631301879882812,0.0,,7.0
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1.0,12.805136680603027,12.805136680603027,0.0,,'2',0.1416773945093155,0.1416773945093155,0.0,12.805136680603027,12.805136680603027,0.0,,8.0
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1.0,13.027497291564941,13.027497291564941,0.0,,'3',0.026731200516223907,0.026731200516223907,0.0,13.027497291564941,13.027497291564941,0.0,,9.0
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1.0,13.124564170837402,13.124564170837402,0.0,,'1',0.0679669976234436,0.0679669976234436,0.0,13.124564170837402,13.124564170837402,0.0,,10.0
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1.0,13.285123825073242,13.285123825073242,0.0,,'2',0.2578068971633911,0.2578068971633911,0.0,13.285123825073242,13.285123825073242,0.0,,11.0
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1.0,13.63248062133789,13.63248062133789,0.0,,'1',0.1876402050256729,0.1876402050256729,0.0,13.63248062133789,13.63248062133789,0.0,,12.0

extraInfo
participant,
session,001
date,2022_Jan_12_1640
expName,TMTAstop-A
psychopyVersion,2021.2.3
frameRate,143.82715411510353
