Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_baseline1.thisRepN,Blocks_baseline1.thisTrialN,Blocks_baseline1.thisN,Blocks_baseline1.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,Blocks_TMT.thisRepN,Blocks_TMT.thisTrialN,Blocks_TMT.thisN,Blocks_TMT.thisIndex,Blocks_baseline2.thisRepN,Blocks_baseline2.thisTrialN,Blocks_baseline2.thisN,Blocks_baseline2.thisIndex,trials_baseline2.thisRepN,trials_baseline2.thisTrialN,trials_baseline2.thisN,trials_baseline2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0.9885953000048175,11.495942800000194,None,,,,,,,,,,,,,,001,2022_Nov_17_2124,TMT_fmri,2021.2.3,59.923513627298405,
C1,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,11.495942800000194,None,5,0,2.509620500000892,26.326736400005757,None,"['1', '2', '3', '1', '2']",1,"[1.7956181000045035, 1.9099321999965468, 1.951294800004689, 2.112978400007705, 2.16005610000866]",26.326736400005757,None,,001,2022_Nov_17_2124,TMT_fmri,2021.2.3,59.923513627298405,
C1,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,2,0,7.6044060999993235,28.560482700006105,None,"['3', '1']",1,"[0.012427199995727278, 5.0400620000000345]",28.560482700006105,None,,001,2022_Nov_17_2124,TMT_fmri,2021.2.3,59.923513627298405,
C1,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,0,0,,33.65595260000555,None,None,0,,33.65595260000555,None,,001,2022_Nov_17_2124,TMT_fmri,2021.2.3,59.923513627298405,
C3,52:78,1,['2'],2,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMT_Control,C3,51,2,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,1,104.06866290001199,87.3837882999942,None,['2'],1,[42.67634219999309],87.3837882999942,None,,001,2022_Nov_17_2124,TMT_fmri,2021.2.3,59.923513627298405,
C3,52:78,2,['1'],1,TMTstop-control_1_3.png,TMTstop-control_1_3firstgreen.png,TMTstop-control_1_3firstred.png,TMT_Control,C3,52,None,1,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,1,1,104.56039779999992,130.12813389999792,None,['1'],1,[0.4272330999956466],130.12813389999792,None,,001,2022_Nov_17_2124,TMT_fmri,2021.2.3,59.923513627298405,
C3,52:78,3,['2'],2,TMTstop-control_1_3linestimulus0.png,TMTstop-control_1_3greenlinestimulus0.png,TMTstop-control_1_3redlinestimulus0.png,TMT_Control,C3,53,None,1,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,0,0,,130.61952959999326,None,None,0,,130.61952959999326,None,,001,2022_Nov_17_2124,TMT_fmri,2021.2.3,59.923513627298405,
C4,78:104,1,['2'],2,TMTstop-control_1_4.png,TMTstop-control_1_4.png,TMTstop-control_1_4.png,TMT_Control,C4,76,None,1,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,2,0,158.19180600000254,178.34890850000374,None,"['1', '2']",1,"[5.743996800010791, 5.842375600012019]",178.34890850000374,None,,001,2022_Nov_17_2124,TMT_fmri,2021.2.3,59.923513627298405,
C4,78:104,2,['1'],1,TMTstop-control_1_4.png,TMTstop-control_1_4firstgreen.png,TMTstop-control_1_4firstred.png,TMT_Control,C4,77,None,1,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,1,1,158.44166570001107,184.243043399998,None,['1'],1,[0.18880609999177977],184.243043399998,None,,001,2022_Nov_17_2124,TMT_fmri,2021.2.3,59.923513627298405,
C4,78:104,3,['3'],3,TMTstop-control_1_4linestimulus0.png,TMTstop-control_1_4greenlinestimulus0.png,TMTstop-control_1_4redlinestimulus0.png,TMT_Control,C4,78,None,1,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,2,0,158.60481640000944,184.50125390000176,None,"['2', '3']",1,"[-0.013862099993275478, 0.05644860000757035]",184.50125390000176,None,,001,2022_Nov_17_2124,TMT_fmri,2021.2.3,59.923513627298405,
