Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,s,2.147936200010008,12.196213799994439,None,,,,,,,,,,,,,001,2022_May_10_0951,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,12.196213799994439,None,2,0,14.528419399997802,None,"['1', '2']",1,"[0.6371471999882488, 0.689912199988612]",14.528419399997802,None,,001,2022_May_10_0951,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,10,0,15.341757599991979,None,"['3', '1', '2', '3', '1', '2', '3', '2', '3', '1']",1,"[0.021587900002487004, 0.1996623000013642, 0.23886250000214204, 0.3717887999955565, 0.5136215999955311, 0.5730767000059132, 0.76714670000365, 1.2289031999971485, 1.433388899997226, 1.7323249000037322]",15.341757599991979,None,,001,2022_May_10_0951,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,3,0,17.232511099995463,None,"['1', '2', '3']",1,"[0.399932300002547, 0.45672539999941364, 0.5747095999977319]",17.232511099995463,None,,001,2022_May_10_0951,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,1,1,17.888979900002596,None,['1'],1,[0.12942670000484213],17.888979900002596,None,,001,2022_May_10_0951,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,2,0,18.140554900004645,None,"['2', '3']",1,"[-0.045724399999016896, 0.07437109999591485]",18.140554900004645,None,,001,2022_May_10_0951,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,1,1,18.393482999992557,None,['1'],1,[-0.017000000007101335],18.393482999992557,None,,001,2022_May_10_0951,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,1,1,18.533139099992695,None,['2'],1,[-0.05769020000298042],18.533139099992695,None,,001,2022_May_10_0951,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,2,0,18.623647000000346,None,"['3', '1']",1,"[-0.07447239999601152, 0.05757410000660457]",18.623647000000346,None,,001,2022_May_10_0951,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,2,0,18.781888400000753,None,"['2', '3']",1,"[-0.01612580000073649, 0.07987020000291523]",18.781888400000753,None,,001,2022_May_10_0951,TMT_fmri,2021.2.3,None,
