NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
25,['1'],1,TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,TMT_A,A1,25,None,2,0.0,,,,'--',,,,'--','--',,,,'--',
None,None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,TMT_A,A1,Feedback_last,None,2,0.0,,,,'--',,,,'--','--',,,,'--',

extraInfo
participant,
session,001
date,2022_Nov_17_2223
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.93155815921514
