NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],2,TMTstop-control_1_p.png,TMTstop-control_1_p.png,TMTstop-control_1_p.png,10,0,0,0,0,1,1,41.670032699999865,None,['2'],1,[1.2362828999757767],41.670032699999865,None,,001,2022_Apr_29_1040,TMT_practice,2021.2.3,144.1780195171654,
2,['1'],1,TMTstop-control_1_p.png,TMTstop-control_1_pfirstgreen.png,TMTstop-control_1_pfirstred.png,10,0,1,1,1,2,0,42.996498099993914,None,"['3', '1']",1,"[0.7341445999918506, 1.5246398000163026]",42.996498099993914,None,,001,2022_Apr_29_1040,TMT_practice,2021.2.3,144.1780195171654,
3,['3'],3,TMTstop-control_1_plinestimulus0.png,TMTstop-control_1_pgreenlinestimulus0.png,TMTstop-control_1_predlinestimulus0.png,10,0,2,2,2,4,0,44.61448349998682,None,"['2', '1', '2', '3']",1,"[-0.02596969998558052, 0.6661473000131082, 0.7064591000089422, 0.8477148000092711]",44.61448349998682,None,,001,2022_Apr_29_1040,TMT_practice,2021.2.3,144.1780195171654,
4,['1'],1,TMTstop-control_1_plinestimulus1.png,TMTstop-control_1_pgreenlinestimulus1.png,TMTstop-control_1_predlinestimulus1.png,10,0,3,3,3,2,0,45.55902459999197,None,"['2', '1']",1,"[0.3808442000008654, 0.38844420001260005]",45.55902459999197,None,,001,2022_Apr_29_1040,TMT_practice,2021.2.3,144.1780195171654,
5,['3'],3,TMTstop-control_1_plinestimulus2.png,TMTstop-control_1_pgreenlinestimulus2.png,TMTstop-control_1_predlinestimulus2.png,10,0,4,4,4,1,1,46.059276799991494,None,['3'],1,[0.08407419998547994],46.059276799991494,None,,001,2022_Apr_29_1040,TMT_practice,2021.2.3,144.1780195171654,
6,['1'],1,TMTstop-control_1_plinestimulus3.png,TMTstop-control_1_pgreenlinestimulus3.png,TMTstop-control_1_predlinestimulus3.png,10,0,5,5,5,2,0,46.22592359999544,None,"['3', '1']",1,"[0.27846910001244396, 0.4720325999951456]",46.22592359999544,None,,001,2022_Apr_29_1040,TMT_practice,2021.2.3,144.1780195171654,
7,['3'],3,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus4.png,TMTstop-control_1_predlinestimulus4.png,10,0,6,6,6,2,0,46.78827150000143,None,"['2', '3']",1,"[-0.036267700023017824, 0.08250319998478517]",46.78827150000143,None,,001,2022_Apr_29_1040,TMT_practice,2021.2.3,144.1780195171654,
8,['1'],1,TMTstop-control_1_plinestimulus4.png,TMTstop-control_1_pgreenlinestimulus5.png,TMTstop-control_1_predlinestimulus5.png,10,0,7,7,7,1,1,46.941378499992425,None,['1'],1,[0.05713780000223778],46.941378499992425,None,,001,2022_Apr_29_1040,TMT_practice,2021.2.3,144.1780195171654,
9,['2'],2,TMTstop-control_1_plinestimulus6.png,TMTstop-control_1_pgreenlinestimulus6.png,TMTstop-control_1_predlinestimulus6.png,10,0,8,8,8,1,1,47.0800820000004,None,['2'],1,[-0.03344460000516847],47.0800820000004,None,,001,2022_Apr_29_1040,TMT_practice,2021.2.3,144.1780195171654,
10,['3'],3,TMTstop-control_1_plinestimulus7.png,TMTstop-control_1_pgreenlinestimulus7.png,TMTstop-control_1_predlinestimulus7.png,10,0,9,9,9,1,1,47.14917219997733,None,['3'],1,[-0.02700230001937598],47.14917219997733,None,,001,2022_Apr_29_1040,TMT_practice,2021.2.3,144.1780195171654,
,,,,,,,,,,,0,0,,,,,,,,,,,,,,
