NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,7.171419000000242,None,7.171419000000242,None,8.488730299999588,None,2,1,0.8762377999992168,8.488730299999588,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,9.438526900000397,None,3,1,0.48224670000035985,9.438526900000397,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,10.005745000000388,None,1,1,1.827957399999832,10.005745000000388,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,11.906454199999644,None,2,1,0.4488729999993666,11.906454199999644,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,,,,,12.440241999999671,None,3,1,0.3719965999998749,12.440241999999671,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,,,,,12.907136300000275,None,2,1,0.3045635999997103,12.907136300000275,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,,,,,13.307230399999753,None,1,1,0.11378049999984796,13.307230399999753,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,,,,,13.507240900000397,None,2,0,0.11003119999986666,13.507240900000397,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,,,,,13.707397199999832,None,3,0,0.018591400000332214,13.707397199999832,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,,,,,13.824142700000266,None,1,0,0.08636470000055851,13.824142700000266,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,,,,,14.007641700000022,None,2,0,-0.028605900000002293,14.007641700000022,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,14.09096369999952,None,3,0,-0.012300800000048184,14.09096369999952,None,,,,,,,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
,,,,,,,,,,,,,,,,,,,,,,,,14.10749339999984,None,escape,0.8279121000005034,14.10749339999984,None,,001,2021_Oct_21_1759,TMTAB,2021.2.3,60.005172446066,
,,,,,,,,,,,,,14.957985600000029,None,14.957985600000029,None,,,,,,,,,,,,,,,,,,,,
